vectorizer,preprocessing_mode,chunking_strategy,overlap_size,fixed_length,vocab_top_n,avg_similarity,std_similarity,mistral_response_len,query_count
bow,lemma,fixed-length,1,50,10,0.9847920773279787,0.012468479444283618,173.66666666666666,9
bow,lemma,fixed-length,1,50,30,0.9688793840712222,0.02351246644229807,227.0,9
bow,lemma,fixed-length,1,50,50,0.9644270553093127,0.027632393272113854,116.33333333333333,9
bow,lemma,fixed-length,1,100,10,0.9729372456187837,0.01312699142369358,278.3333333333333,9
bow,lemma,fixed-length,1,100,30,0.9533788830894951,0.02080291762361803,184.66666666666666,9
bow,lemma,fixed-length,1,100,50,0.9490064889993715,0.018463322064598137,207.33333333333334,9
bow,lemma,fixed-length,1,150,10,0.9548853247704512,0.018114339486751684,146.33333333333334,9
bow,lemma,fixed-length,1,150,30,0.932051608673534,0.019220730372272177,124.66666666666667,9
bow,lemma,fixed-length,1,150,50,0.9275897242198243,0.02020877464576454,119.0,9
bow,lemma,sentence,2,0,10,0.8647347375201688,0.011457782646973839,105.0,9
bow,lemma,sentence,2,0,30,0.8378722096127984,0.007702557379061035,94.66666666666667,9
bow,lemma,sentence,2,0,50,0.8358359291211082,0.007785580391885008,89.33333333333333,9
bow,lemma,sentence,4,0,10,0.8647347375201688,0.011457782646973839,110.33333333333333,9
bow,lemma,sentence,4,0,30,0.8378722096127984,0.007702557379061035,108.33333333333333,9
bow,lemma,sentence,4,0,50,0.8358359291211082,0.007785580391885008,183.33333333333334,9
bow,none,fixed-length,1,50,10,0.9938062331196978,0.007892095799365591,119.0,9
bow,none,fixed-length,1,50,30,0.9695062436958443,0.022879407916516496,319.3333333333333,9
bow,none,fixed-length,1,50,50,0.9665607588870136,0.02516668430341882,200.33333333333334,9
bow,none,fixed-length,1,100,10,0.9748977832489665,0.017134979781817293,277.3333333333333,9
bow,none,fixed-length,1,100,30,0.9540321433860603,0.029281040489251033,221.66666666666666,9
bow,none,fixed-length,1,100,50,0.9463480645089624,0.028470431035461742,319.0,9
bow,none,fixed-length,1,150,10,0.9721167769917854,0.021910225596548177,244.66666666666666,9
bow,none,fixed-length,1,150,30,0.954553248282858,0.0313901584343318,334.6666666666667,9
bow,none,fixed-length,1,150,50,0.9471153682268592,0.034113097706220064,101.0,9
bow,none,sentence,2,0,10,0.9932141901487387,0.008046980587047886,264.0,9
bow,none,sentence,2,0,30,0.974479036527798,0.020501132008486002,145.33333333333334,9
bow,none,sentence,2,0,50,0.9731601184792736,0.02178352022119176,235.0,9
bow,none,sentence,4,0,10,0.9906220623964617,0.012068041849302349,281.0,9
bow,none,sentence,4,0,30,0.971269353518038,0.021669686399607646,185.66666666666666,9
bow,none,sentence,4,0,50,0.9669318579364917,0.02543394000868304,135.0,9
bow,stem,fixed-length,1,50,10,0.9999999999999998,1.3597399555105182e-16,227.66666666666666,9
bow,stem,fixed-length,1,50,30,0.9688793840712224,0.023512466442298083,83.33333333333333,9
bow,stem,fixed-length,1,50,50,0.9644270553093127,0.027632393272113854,182.33333333333334,9
bow,stem,fixed-length,1,100,10,0.9863525723211892,0.004890899286955724,82.66666666666667,9
bow,stem,fixed-length,1,100,30,0.9556759061400726,0.01933702858647906,141.66666666666666,9
bow,stem,fixed-length,1,100,50,0.9486777503240447,0.018652085512140485,102.0,9
bow,stem,fixed-length,1,150,10,0.980419959026994,0.0027543023534448846,114.66666666666667,9
bow,stem,fixed-length,1,150,30,0.9415250113726875,0.020836239934619576,100.33333333333333,9
bow,stem,fixed-length,1,150,50,0.9300303941363328,0.019608368064637404,101.33333333333333,9
bow,stem,sentence,2,0,10,0.8974337650923457,0.004967527384932514,105.66666666666667,9
bow,stem,sentence,2,0,30,0.8452539740934732,0.008073554705556906,80.0,9
bow,stem,sentence,2,0,50,0.8421257163598885,0.007199186099098109,94.66666666666667,9
bow,stem,sentence,4,0,10,0.8974337650923457,0.004967527384932514,102.0,9
bow,stem,sentence,4,0,30,0.8452539740934732,0.008073554705556906,101.0,9
bow,stem,sentence,4,0,50,0.8421257163598885,0.007199186099098109,108.66666666666667,9
tfidf,lemma,fixed-length,1,50,10,0.9800858123815358,0.015028026736438738,121.66666666666667,9
tfidf,lemma,fixed-length,1,50,30,0.9493177975963591,0.03896455218927566,246.0,9
tfidf,lemma,fixed-length,1,50,50,0.9232050265600259,0.061479500313119384,246.33333333333334,9
tfidf,lemma,fixed-length,1,100,10,0.9658838924679615,0.015101564885917951,259.0,9
tfidf,lemma,fixed-length,1,100,30,0.9177805358626675,0.04050611255829721,212.0,9
tfidf,lemma,fixed-length,1,100,50,0.89101178831848,0.03370464529470666,158.66666666666666,9
tfidf,lemma,fixed-length,1,150,10,0.9440192740594822,0.023714622719984178,104.33333333333333,9
tfidf,lemma,fixed-length,1,150,30,0.8981156801045673,0.02623332265682457,244.33333333333334,9
tfidf,lemma,fixed-length,1,150,50,0.8740060279955727,0.03667989874944328,107.66666666666667,9
tfidf,lemma,sentence,2,0,10,0.8643605118341942,0.011605875118938696,105.0,9
tfidf,lemma,sentence,2,0,30,0.830511322913879,0.007164560342734264,183.66666666666666,9
tfidf,lemma,sentence,2,0,50,0.8282205957218302,0.00734834888746916,79.66666666666667,9
tfidf,lemma,sentence,4,0,10,0.8643605118341942,0.011605875118938696,207.66666666666666,9
tfidf,lemma,sentence,4,0,30,0.830511322913879,0.007164560342734264,87.66666666666667,9
tfidf,lemma,sentence,4,0,50,0.8282205957218302,0.00734834888746916,93.66666666666667,9
tfidf,none,fixed-length,1,50,10,0.9932309278480478,0.008743018763011496,187.33333333333334,9
tfidf,none,fixed-length,1,50,30,0.9544347746165278,0.034185011877220096,183.66666666666666,9
tfidf,none,fixed-length,1,50,50,0.9395458724688405,0.046168217745032415,244.33333333333334,9
tfidf,none,fixed-length,1,100,10,0.9674523602098686,0.02208510883448211,106.0,9
tfidf,none,fixed-length,1,100,30,0.926234547324149,0.0466058491527587,328.3333333333333,9
tfidf,none,fixed-length,1,100,50,0.9002507253484338,0.04654356062577487,163.33333333333334,9
tfidf,none,fixed-length,1,150,10,0.9673395124343492,0.025635147131268875,149.0,9
tfidf,none,fixed-length,1,150,30,0.929139282792754,0.050378549601811866,133.33333333333334,9
tfidf,none,fixed-length,1,150,50,0.9123969499940494,0.05407356394373319,480.6666666666667,9
tfidf,none,sentence,2,0,10,0.9910444923637556,0.010619925650086005,150.0,9
tfidf,none,sentence,2,0,30,0.9631715637230225,0.027879507361786574,167.66666666666666,9
tfidf,none,sentence,2,0,50,0.953779960543615,0.036871959745727,278.0,9
tfidf,none,sentence,4,0,10,0.9915618824194689,0.011248790961484359,156.66666666666666,9
tfidf,none,sentence,4,0,30,0.9573262910537435,0.03205405373510735,205.33333333333334,9
tfidf,none,sentence,4,0,50,0.9396136505804955,0.04580526235239976,110.0,9
tfidf,stem,fixed-length,1,50,10,1.0,1.3597399555105182e-16,503.0,9
tfidf,stem,fixed-length,1,50,30,0.9485432042684262,0.03966487265919997,322.6666666666667,9
tfidf,stem,fixed-length,1,50,50,0.9317729831596906,0.05155337141874684,254.0,9
tfidf,stem,fixed-length,1,100,10,0.981240294218598,0.007143976103732177,145.66666666666666,9
tfidf,stem,fixed-length,1,100,30,0.9177380929040689,0.038198361104013395,165.33333333333334,9
tfidf,stem,fixed-length,1,100,50,0.8862359564667652,0.02896902697623042,175.33333333333334,9
tfidf,stem,fixed-length,1,150,10,0.9759773838525054,0.00510570697951524,220.33333333333334,9
tfidf,stem,fixed-length,1,150,30,0.9150169918889648,0.03098218637615177,176.33333333333334,9
tfidf,stem,fixed-length,1,150,50,0.881233627982668,0.03227527110659021,138.0,9
tfidf,stem,sentence,2,0,10,0.8972388880515846,0.0049802008197725985,98.33333333333333,9
tfidf,stem,sentence,2,0,30,0.8405201173653354,0.00959326032302863,106.0,9
tfidf,stem,sentence,2,0,50,0.8345286349279956,0.006931590897463488,156.66666666666666,9
tfidf,stem,sentence,4,0,10,0.8972388880515846,0.0049802008197725985,118.66666666666667,9
tfidf,stem,sentence,4,0,30,0.8405201173653354,0.00959326032302863,79.66666666666667,9
tfidf,stem,sentence,4,0,50,0.8345286349279956,0.006931590897463488,80.0,9
